kare,roll_once,roll_sonra
ACO_ANKA_0047.jpg,1.462,0.001
ACO_ANKA_0047_7.jpg,1.389,0.002
ACO_ANKA_0047_2.jpg,1.387,0.016
ACO_ANKA_0047_1.jpg,1.378,0.005
ACO_ANKA_0047_3.jpg,1.377,0.008
ACO_ANKA_0047_8.jpg,1.367,0.01
ACO_ANKA_0028.jpg,1.341,0.001
ACO_ANKA_0033_10.jpg,-1.317,-0.014
ACO_ANKA_0033_2.jpg,-1.316,-0.014
ACO_ANKA_0033_5.jpg,-1.316,-0.026
ACO_ANKA_0033_4.jpg,-1.313,0.02
ACO_ANKA_0033_1.jpg,-1.301,0.064
ACO_ANKA_0033_3.jpg,-1.297,0.006
ACO_ANKA_0033.jpg,-1.183,-0.003
ACO_ANKA_0030.jpg,1.026,-0.002
ACO_6600_0018.jpg,-0.999,0.013
ACO_ANKA_0030_1.jpg,0.998,0.001
ACO_ANKA_0030_3.jpg,0.995,-0.002
ACO_ANKA_0030_2.jpg,0.994,-0.005
ACO_ANKA_0030_8.jpg,0.994,-0.001
ACO_ANKA_0030_9.jpg,0.993,-0.001
ACO_ANKA_0030_4.jpg,0.987,0.001
ACO_ANKA_0004.jpg,-0.953,0.01
ACO_6600_0017.jpg,-0.93,-0.005
0017.jpg,-0.916,-0.017
ACO_ANKA_0040_GAIN.jpg,0.875,-0.0
ACO_ANKA_0040.jpg,0.872,0.004
ACO_ANKA_0040_SAT.jpg,0.87,-0.008
ACO_ANKA_0040_BRI.jpg,0.869,-0.009
ACO_ANKA_0040_GAMMA.jpg,0.864,-0.006
ACO_ANKA_0045.jpg,0.836,0.006
ACO_ANKA_0045_8.jpg,0.835,0.002
ACO_ANKA_0045_2.jpg,0.827,0.0
ACO_ANKA_0045_1.jpg,0.82,-0.003
ACO_ANKA_0045_3.jpg,0.818,0.003
ACO_ANKA_0045_7.jpg,0.817,-0.001
ACO_ANKA_0027.jpg,0.805,0.0
ACO_6600_0005.jpg,-0.793,0.002
ACO_ANKA_0013.jpg,-0.786,0.004
ACO_ANKA_0037.jpg,-0.781,-0.003
ACO_ANKA_0037_4.jpg,-0.779,-0.011
ACO_ANKA_0036_F.jpg,-0.778,0.007
ACO_ANKA_0037_1.jpg,-0.778,-0.012
ACO_ANKA_0037_2.jpg,-0.777,-0.014
ACO_ANKA_0037_3.jpg,-0.776,-0.012
ACO_ANKA_0036_1.jpg,-0.775,-0.003
ACO_ANKA_0037_5.jpg,-0.775,-0.013
ACO-ANKA-A1100-0036.jpg,-0.772,-0.008
ACO_ANKA_0036_5.jpg,-0.771,0.001
ACO_ANKA_0036_10.jpg,-0.769,0.004
ACO_ANKA_0036_4.jpg,-0.767,0.003
ACO_ANKA_0036_2.jpg,-0.758,0.005
ACO_ANKA_0014.jpg,-0.727,0.001
ACO_6600_0004.jpg,-0.713,-0.001
ACO_ANKA_0023.jpg,0.675,0.001
ACO_ANKA_0022_n.jpg,0.645,-0.002
ACO_ANKA_0022_1.jpg,0.633,-0.0
ACO_ANKA_0022_2.jpg,0.633,0.005
ACO_6600_0022.jpg,0.626,-0.024
ACO_ANKA_0022.jpg,0.626,-0.001
ACO_6600_0011.jpg,0.624,-0.011
ACO_ANKA_0026.jpg,0.575,-0.006
ACO_6600_0008.jpg,0.564,0.019
ACO_6600_0006.jpg,-0.56,-0.008
ACO_ANKA_0044.jpg,-0.539,-0.0
ACO_ANKA_0031.jpg,0.508,0.001
ACO_6600_0019.jpg,-0.498,0.012
ACO_ANKA_0005.jpg,0.494,0.005
ACO_6600_0014.jpg,-0.458,-0.005
ACO-ANKA-A1100-0021.jpg,-0.456,0.001
ACO_ANKA_0031_2.jpg,0.448,-0.01
ACO_ANKA_0031_4.jpg,0.447,0.007
ACO_ANKA_0031_1.jpg,0.433,0.032
ACO_ANKA_0032.jpg,0.432,0.002
ACO_ANKA_0032_3.jpg,0.42,0.003
ACO_ANKA_0032_1.jpg,0.419,0.002
ACO_ANKA_0032_10.jpg,0.419,0.003
ACO_ANKA_0032_4.jpg,0.419,0.003
ACO_ANKA_0032_2.jpg,0.418,0.005
ACO_ANKA_0031_9.jpg,0.404,-0.045
ACO_ANKA_0031_10.jpg,0.396,-0.056
ACO_ANKA_0031_3.jpg,0.379,-0.034
ACO_6600_0003.jpg,-0.362,0.008
ACO_ANKA_0039.jpg,0.311,0.002
ACO_ANKA_0024.jpg,-0.302,-0.003
ACO_6600_0009.jpg,-0.291,-0.008
ACO_6600_0012.jpg,-0.276,0.006
ACO_6600_0015.jpg,0.253,0.031
ACO_6600_0007.jpg,-0.243,0.01
ACO_6600_0020.jpg,-0.243,0.01
ACO_6600_0013.jpg,-0.199,-0.0
ACO_ANKA_0038.jpg,0.196,-0.0
ACO_ANKA_0041.jpg,0.179,-0.005
ACO_ANKA_0010.jpg,-0.169,-0.001
ACO_ANKA_0029.jpg,0.164,-0.001
ACO_ANKA_0035_4.jpg,0.155,0.015
ACO_ANKA_0035_5.jpg,0.151,-0.064
ACO_ANKA_0035_2.jpg,0.128,-0.001
ACO_ANKA_0035_3.jpg,0.124,-0.003
ACO_ANKA_0035_1.jpg,0.122,-0.008
ACO_ANKA_0020.jpg,-0.065,-0.005
ACO_6600_0010.jpg,-0.055,0.01
ACO_ANKA_0035.jpg,0.05,0.0
