kare,karar,ham,model,sistem,kose,artik,simetri,bekci,zarf,mm_px,bilezik,bilezik_kullanildi,kapilar,ms
ACO_6600_0022.jpg,warn,35.44,2.22,2.73,2.278,2.705,9.07,4.01,True,0.3244390571102964,3,True,spread,222
ACO_ANKA_0030_8.jpg,warn,34.16,0.55,2.45,1.038,2.251,1.57,6.03,True,0.3202299482377081,4,True,spread,205
ACO_ANKA_0040_GAIN.jpg,warn,34.61,1.9,2.2,2.803,2.54,2.53,4.3,True,0.32515828966090227,3,True,spread,250
ACO_ANKA_0030_9.jpg,warn,34.17,0.58,2.05,1.002,1.853,1.58,5.4,True,0.32022693904360855,4,True,spread,205
ACO_6600_0007.jpg,warn,34.33,2.33,2.03,2.13,2.156,5.36,3.02,True,0.3252442304772177,0,False,"spread,stage2",188
ACO_ANKA_0039.jpg,warn,34.98,1.63,2.02,0.811,2.347,5.32,1.45,True,0.3240274087915181,4,True,spread,246
ACO_6600_0008.jpg,warn,35.04,2.83,2.01,2.319,2.524,2.54,3.07,True,0.3243391670603099,3,True,spread,214
ACO_ANKA_0033_3.jpg,accept,34.52,0.52,1.93,0.94,2.127,7.06,4.72,True,0.3229937876727055,4,True,-,214
ACO_ANKA_0030_4.jpg,accept,34.09,0.55,1.91,0.974,1.709,1.27,4.98,True,0.32060524889685943,4,True,-,202
ACO-ANKA-A1100-0021.jpg,accept,34.01,3.14,1.88,1.323,1.934,2.9,4.59,True,0.3244077961412506,3,True,-,255
ACO_6600_0003.jpg,accept,36.02,3.2,1.87,0.723,1.985,9.44,5.91,True,0.3226750401306383,4,False,stage2,227
ACO_6600_0011.jpg,accept,34.34,3.19,1.86,2.661,1.759,4.63,3.07,True,0.3274369659706872,3,True,-,263
ACO_ANKA_0035_1.jpg,warn,34.35,3.38,1.86,1.109,2.239,8.01,7.87,True,0.3231704385926669,4,True,net,215
ACO_ANKA_0004.jpg,warn,33.96,4.77,1.8,2.419,2.088,2.86,7.04,True,0.3264934533309909,3,True,net,202
ACO_6600_0006.jpg,accept,35.49,2.09,1.69,2.224,1.728,10.97,3.44,True,0.3258792514520094,4,False,stage2,268
ACO_ANKA_0026.jpg,warn,35.15,1.68,1.68,3.542,5.818,3.79,2.53,True,0.32390466190773737,2,False,"residual,stage2",180
ACO_ANKA_0023.jpg,accept,34.93,2.89,1.66,1.207,1.798,5.38,5.27,True,0.3225114509124022,0,False,stage2,228
ACO_6600_0012.jpg,accept,34.65,3.58,1.64,2.386,1.694,4.94,4.04,True,0.32438378206980206,3,True,-,240
ACO_ANKA_0020.jpg,warn,35.04,1.1,1.63,1.15,6.481,10.37,2.87,True,0.32380259225772484,0,False,"residual,stage2",198
ACO_ANKA_0037_1.jpg,accept,34.72,1.78,1.59,2.448,1.671,6.49,1.65,True,0.32145534761959094,0,False,stage2,168
ACO_6600_0020.jpg,accept,34.54,1.61,1.56,2.375,1.646,5.49,1.65,True,0.3225836316260794,2,False,stage2,176
ACO_6600_0014.jpg,accept,34.08,1.91,1.55,2.71,1.561,7.43,5.48,True,0.3259085628239442,3,True,-,220
ACO_ANKA_0037_5.jpg,accept,34.67,2.03,1.54,2.447,1.651,6.38,1.64,True,0.321454144283392,0,False,stage2,164
ACO_6600_0004.jpg,accept,34.68,1.7,1.53,0.924,1.557,11.15,2.09,True,0.3235929142675494,4,True,-,207
ACO_ANKA_0022.jpg,accept,34.84,2.03,1.53,1.024,1.989,5.3,3.73,True,0.3260768532284856,4,True,-,286
ACO_ANKA_0030_1.jpg,accept,34.1,0.54,1.53,0.956,1.431,1.28,4.21,True,0.32067462421205006,4,True,-,204
ACO_ANKA_0045_8.jpg,accept,33.79,1.35,1.53,0.886,2.114,2.4,5.2,True,0.3221988617123106,4,True,-,238
ACO_ANKA_0037.jpg,accept,34.73,2.38,1.52,2.716,1.57,5.45,1.57,True,0.3209570699725261,2,False,stage2,196
ACO_ANKA_0037_4.jpg,accept,34.57,1.78,1.48,2.365,1.65,6.0,1.62,True,0.32148042776690827,3,True,-,199
